Date,HomeTeam,AwayTeam,FTR,P_Away,P_Draw,P_Home,Draw_Rank,Predicted
2026-03-14,West Ham,Man City,D,0.4397660752525766,0.32841507385631724,0.23181885089110574,2,A
2025-11-08,Tottenham,Man United,D,0.3491636413604485,0.30994106068437355,0.34089529795517803,3,A
2025-11-30,Chelsea,Arsenal,D,0.3534439292777339,0.30575618080898825,0.34079988991327786,3,A
2025-12-20,Newcastle,Chelsea,D,0.31994475405316447,0.301279856575694,0.3787753893711415,3,H
2026-03-15,Crystal Palace,Leeds,D,0.32404108415482374,0.29746714989906203,0.37849176594611433,3,H
2026-05-10,Nott'm Forest,Newcastle,D,0.3587937269754377,0.29457154132426583,0.3466347317002969,3,A
2026-05-10,Crystal Palace,Everton,D,0.35566306658997715,0.29281502642391194,0.35152190698611074,3,A
2026-02-01,Nott'm Forest,Crystal Palace,D,0.2513120394113915,0.2921102974977469,0.45657766309086123,2,H
2026-01-26,Everton,Leeds,D,0.3259737570981492,0.29180217756692994,0.3822240653349213,3,H
2026-01-04,Tottenham,Sunderland,D,0.23221548901413813,0.2910060664647715,0.4767784445210898,2,H
2026-04-18,Tottenham,Brighton,D,0.40202110264898544,0.2853565134510119,0.3126223839000024,3,A
2025-12-28,Sunderland,Leeds,D,0.3111488573416923,0.28028298028673626,0.4085681623715718,3,H
2026-05-19,Bournemouth,Man City,D,0.46215621634105014,0.27852198144968054,0.2593218022092695,2,A
2026-02-01,Tottenham,Man City,D,0.43711129358939527,0.27695114577917057,0.28593756063143455,3,A
2025-09-27,Leeds,Bournemouth,D,0.43573242699300985,0.27691329085681515,0.2873542821501747,3,A
2025-12-14,Brentford,Leeds,D,0.24085002448937312,0.2741120856136448,0.4850378898969825,2,H
2025-11-03,Sunderland,Everton,D,0.35913880471256154,0.27358917662737287,0.3672720186600655,3,H
2025-09-13,Everton,Aston Villa,D,0.37675139120668655,0.2722153723822737,0.3510332364110397,3,A
2026-03-16,Brentford,Wolves,D,0.14323436364635034,0.27161742690066687,0.585148209452982,2,H
2025-08-24,Crystal Palace,Nott'm Forest,D,0.29516125288801004,0.2694475105854059,0.4353912365265839,3,H
2026-04-20,Crystal Palace,West Ham,D,0.31203880359369246,0.26932467258375803,0.41863652382255,3,H
2026-01-07,Crystal Palace,Aston Villa,D,0.40263024462086666,0.26911315834222216,0.328256597036911,3,A
2025-08-16,Brighton,Fulham,D,0.2966960328770325,0.2683895892877351,0.4349143778352322,3,H
2025-11-22,Bournemouth,West Ham,D,0.14413308860987936,0.26761878751209467,0.5882481238780256,2,H
2025-11-01,Nott'm Forest,Man United,D,0.48012236232551114,0.26638105856238414,0.253496579112105,2,A
2025-08-30,Leeds,Newcastle,D,0.47500154204832246,0.26623367943650134,0.25876477851517643,2,A
2026-02-21,West Ham,Bournemouth,D,0.41236905740273283,0.2657567878941342,0.32187415470313274,3,A
2025-12-20,Bournemouth,Burnley,D,0.11461576601195551,0.265094700888242,0.6202895330998033,2,H
2025-12-06,Bournemouth,Chelsea,D,0.4144182169976626,0.26408676351253446,0.3214950194898028,3,A
2026-01-07,Everton,Wolves,D,0.2140582720351166,0.26328087845029224,0.5226608495145917,2,H
2026-03-15,Nott'm Forest,Fulham,D,0.23721969694353637,0.2624450684039301,0.5003352346525334,2,H
2025-09-21,Arsenal,Man City,D,0.18387061878474206,0.2623453434697048,0.5537840377455532,2,H
2025-09-13,Brentford,Chelsea,D,0.5557055060449322,0.2621710226783546,0.18212347127671294,2,A
2025-09-21,Sunderland,Aston Villa,D,0.4495888278988057,0.26180797486393165,0.28860319723726274,3,A
2026-01-04,Leeds,Man United,D,0.3774215451005808,0.2617175241320046,0.3608609307674149,3,A
2026-04-12,Nott'm Forest,Aston Villa,D,0.41760810302225815,0.26117168408335334,0.32122021289438885,3,A
2026-01-19,Brighton,Bournemouth,D,0.23285194839476012,0.2599881911738708,0.5071598604313691,2,H
2026-05-17,Brentford,Crystal Palace,D,0.19139634431309185,0.2595771961008059,0.5490264595861023,2,H
2026-05-24,Burnley,Wolves,D,0.30363050653532553,0.2587405111442863,0.4376289823203882,3,H
2026-05-24,Nott'm Forest,Bournemouth,D,0.47324124895601843,0.25801168572705035,0.2687470653169313,3,A
2026-04-18,Brentford,Fulham,D,0.33088094487038416,0.2569468089295687,0.4121722462000474,3,H
2026-01-18,Wolves,Newcastle,D,0.5702011467360378,0.2566332508877483,0.17316560237621356,2,A
2026-04-22,Bournemouth,Leeds,D,0.281692719683424,0.25583189938907774,0.4624753809274983,3,H
2026-03-21,Leeds,Brentford,D,0.3655518261305041,0.2545793311424264,0.3798688427270696,3,H
2025-09-20,Burnley,Nott'm Forest,D,0.48236863332010793,0.25326499593692703,0.26436637074296554,3,A
2025-08-16,Aston Villa,Newcastle,D,0.3103921255993446,0.2526390104843629,0.4369688639162924,3,H
2026-02-07,Bournemouth,Aston Villa,D,0.4087856259742027,0.25062270113337604,0.34059167289242076,3,A
2026-05-02,Wolves,Sunderland,D,0.4531152856563325,0.24955845632626592,0.297326258017402,3,A
2025-09-20,Brighton,Tottenham,D,0.27112521433989256,0.2488688113933936,0.4800059742667131,3,H
2025-09-21,Bournemouth,Newcastle,D,0.35592108228463126,0.24822157964803415,0.39585733806733436,3,H
2025-12-20,Brighton,Sunderland,D,0.1612183453318835,0.2473794326353693,0.5914022220327474,2,H
2026-03-03,Bournemouth,Brentford,D,0.3250041570249651,0.24518020757990994,0.4298156353951249,3,H
2026-03-20,Bournemouth,Man United,D,0.4351866785550669,0.24394294742622932,0.3208703740187038,3,A
2025-08-24,Fulham,Man United,D,0.45468318362041393,0.24374867905573086,0.30156813732385535,3,A
2026-02-10,West Ham,Man United,D,0.5718215445638157,0.24339506883233056,0.18478338660385318,2,A
2025-08-17,Chelsea,Crystal Palace,D,0.18397512479128847,0.24282959068902624,0.5731952845196854,2,H
2026-04-11,Brentford,Everton,D,0.2820940910720585,0.24238669124492745,0.47551921768301403,3,H
2026-01-01,Crystal Palace,Fulham,D,0.27368131053328515,0.24133765514426525,0.48498103432244966,3,H
2026-02-28,Bournemouth,Sunderland,D,0.21749507401698318,0.24083275422237385,0.5416721717606431,2,H
2026-05-09,Liverpool,Chelsea,D,0.22087810114518797,0.24072339250163322,0.5383985063531792,2,H
2026-01-01,Brentford,Tottenham,D,0.2715119733620658,0.23975524095633888,0.4887327856815951,3,H
2025-11-09,Crystal Palace,Brighton,D,0.2982819333178267,0.23971990359428139,0.46199816308789193,3,H
2025-12-30,Chelsea,Bournemouth,D,0.18129680983719534,0.23915797164283079,0.5795452185199741,2,H
2025-09-29,Everton,West Ham,D,0.18832681732133194,0.23660619230443838,0.5750669903742294,2,H
2026-05-24,Liverpool,Brentford,D,0.18306873010155691,0.23559059749237535,0.5813406724060672,2,H
2025-10-05,Wolves,Brighton,D,0.5269064510111074,0.23477947271958757,0.23831407626930495,3,A
2025-10-18,Crystal Palace,Bournemouth,D,0.2862603467856003,0.2342703657864574,0.47946928742794215,3,H
2025-12-27,Burnley,Everton,D,0.48170745457668085,0.23333690538121615,0.2849556400421034,3,A
2026-02-12,Brentford,Arsenal,D,0.5660808526206671,0.23321639549064943,0.20070275188868333,2,A
2025-12-07,Brighton,West Ham,D,0.1772029056576957,0.23226391203228056,0.5905331823100236,2,H
2025-12-06,Leeds,Liverpool,D,0.5260442992159997,0.2322584771497908,0.24169722363420976,3,A
2026-02-11,Nott'm Forest,Wolves,D,0.1833223240714558,0.23098167960929117,0.5856959963192524,2,H
2026-01-31,Brighton,Everton,D,0.21249983758747842,0.22855840433469782,0.558941758077824,2,H
2026-02-21,Aston Villa,Leeds,D,0.19582690322369117,0.22627018623675363,0.5779029105395551,2,H
2026-01-04,Fulham,Liverpool,D,0.47880882160869165,0.22458027627353755,0.2966109021177706,3,A
2026-03-15,Liverpool,Tottenham,D,0.11463611209083131,0.22446563194213215,0.6608982559670366,2,H
2026-05-11,Tottenham,Leeds,D,0.24092937418281507,0.22285254717089165,0.5362180786462932,3,H
2026-01-08,Arsenal,Liverpool,D,0.12230873452110894,0.2147898952525769,0.6629013702263142,2,H
2025-09-13,Crystal Palace,Sunderland,D,0.18419404432420294,0.21440779111728941,0.6013981645585076,2,H
